#,catalog,sub category,Name,Price,date
111101,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Светящийся гном,"100,9",19.12.2023
111117,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Новогодние шары разных форм ( с новым годом , с шишкой )","135,7",19.12.2023
111066,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см с дедом морозом и елкой,195,19.12.2023
111115,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные и зеленые 6см,"127,2",19.12.2023
111114,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные и белые 6см,"127,2",19.12.2023
111121,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары розовые,"142,1",19.12.2023
111120,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары зеленые,"142,1",19.12.2023
111122,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары с рисунками колокольчиков 6см,"122,4",19.12.2023
111064,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см со снеговиком и домом,195,19.12.2023
111068,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и звездой,"140,45",19.12.2023
111103,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Золотой дед мороз,"146,7",19.12.2023
111123,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары с зелеными узорами 6см,"125,9",19.12.2023
111061,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и елкой 2,131,19.12.2023
110944,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний Merry Christmas с маленькими шарами и бантами. 30d,"116,8",19.12.2023
110949,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний со снеговиком.,"77,9",19.12.2023
111067,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и подарком,"140,45",19.12.2023
111107,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Подставка под елку белая,299,19.12.2023
110927,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний Merry Christmas с шарами и бантами. 30d,145,19.12.2023
110946,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с шишками и ягодами. 30d,"138,8",19.12.2023
111062,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом на санях,131,19.12.2023
110950,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний со оленем.,"77,9",19.12.2023
110947,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний белый с шишками и ягодами. 30d,"105,3",19.12.2023
110948,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с дедом морозом.,"77,9",19.12.2023
111057,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и елкой,131,19.12.2023
110943,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Венок новогодний Merry Christmas с шарами , ягодами и бантами. 30d","116,8",19.12.2023
111058,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с снеговиком,131,19.12.2023
111118,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные,"142,1",19.12.2023
111116,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Золотые новогодние шары 101 шт,"343,9",19.12.2023
110945,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с шарами и бантами. 30d,109,19.12.2023
111060,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и колокольчиком,"122,8",19.12.2023
111119,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары золотые,"142,1",19.12.2023
111085,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и разным светом 150 см ( волокна ),"811,2",19.12.2023
111059,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом,"122,8",19.12.2023
111124,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Обычная елка 180см,"552,3",19.12.2023
111126,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белая елка 180см,1099,19.12.2023
111084,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и разным светом 150см (гирлянда),"673,6",19.12.2023
111088,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная со снеговиком 26см,231,19.12.2023
111125,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белая елка 150см,"447,4",19.12.2023
111082,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и теплым светом 180см (гирлянда),"1282,5",19.12.2023
111086,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная с елкой 26см,231,19.12.2023
111065,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см с домом и елкой,195,19.12.2023
111078,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Гирлянда на окно ""дождь"" 3х3 метра , USB","116,8",19.12.2023
111083,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и теплая светом 180см ( волокна ),1100,19.12.2023
111087,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная с дедом морозом 26см,231,19.12.2023
111108,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Корзина белая,249,19.12.2023
111109,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Корзина черная,249,19.12.2023
111056,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Мягкая игрушка дед мороз , снеговик , олень и медведь","25,8",19.12.2023
111111,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Чехлы на бутылку с шариками и блестками,"55,9",19.12.2023
111095,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа белая со снеговиком 12,5см","57,8",19.12.2023
111092,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа черная со снеговиком 12,5см","57,8",19.12.2023
111094,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа белая с ангелом 12,5см","57,8",19.12.2023
111093,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа черная с оленем 12,5см","57,8",19.12.2023
111105,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Шапка новогодняя с разными огнями,"68,8",19.12.2023
111071,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Гирлянды звездa с дедом морозом , елкой , снеговиком 3м ( розетка )","147,5",19.12.2023
111096,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Красный гном,"75,7",19.12.2023
111072,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Шары светящиеся с елкой , оленем , дедом морозом","42,1",19.12.2023
111069,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Сосульки игрушечные,"37,8",19.12.2023
111070,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Гирлянды со звездой и колокольчиком , елкой , оленем (розетка)",126,19.12.2023
111099,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Снеговик,"67,4",19.12.2023
111098,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Красный гном с блестками,"86,7",19.12.2023
111097,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Зеленый гном,"86,7",19.12.2023
111112,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Чехлы на бутылку с гномом,"69,9",19.12.2023
111113,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Чехлы на бутылку с шариками,"61,9",19.12.2023
111075,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда на елку теплая 6м,"154,6",19.12.2023
111091,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа белая с оленем 19,5см","129,3",19.12.2023
111079,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда в виде звезд 10м ( батарейки ),"120,8",19.12.2023
111089,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа белая со снеговиком 19,5см","129,3",19.12.2023
111090,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Лампа красная с дедом морозом 19,5см","129,3",19.12.2023
111077,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда в виде ежиков ( на батарейках ),"172,2",19.12.2023
111076,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда на дерево 2х2 метра ( розетка ),"157,4",19.12.2023
111081,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда в виде снежинок 10м ( розетка ),"163,5",19.12.2023
111080,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда в виде лампочек 10м ( розетка ),"151,2",19.12.2023
111074,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Гирлянда на дом уличная 3м,"192,4",19.12.2023
111073,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Шары светящиеся,"149,3",19.12.2023
111110,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Чехлы на бутылку с рисунком снеговика , деда мороза , оленя","52,7",19.12.2023
111104,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белый дед мороз,"146,7",19.12.2023
111100,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белый гном,"75,7",19.12.2023
111101,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Светящийся гном,"100,9",19.12.2023
111117,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Новогодние шары разных форм ( с новым годом , с шишкой )","135,7",19.12.2023
111066,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см с дедом морозом и елкой,195,19.12.2023
111115,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные и зеленые 6см,"127,2",19.12.2023
111114,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные и белые 6см,"127,2",19.12.2023
111121,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары розовые,"142,1",19.12.2023
111120,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары зеленые,"142,1",19.12.2023
111122,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары с рисунками колокольчиков 6см,"122,4",19.12.2023
111064,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см со снеговиком и домом,195,19.12.2023
111068,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и звездой,"140,45",19.12.2023
111103,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Золотой дед мороз,"146,7",19.12.2023
111123,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары с зелеными узорами 6см,"125,9",19.12.2023
111061,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и елкой 2,131,19.12.2023
110944,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний Merry Christmas с маленькими шарами и бантами. 30d,"116,8",19.12.2023
110949,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний со снеговиком.,"77,9",19.12.2023
111067,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и подарком,"140,45",19.12.2023
111107,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Подставка под елку белая,299,19.12.2023
110927,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний Merry Christmas с шарами и бантами. 30d,145,19.12.2023
110946,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с шишками и ягодами. 30d,"138,8",19.12.2023
111062,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом на санях,131,19.12.2023
110950,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний со оленем.,"77,9",19.12.2023
110947,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний белый с шишками и ягодами. 30d,"105,3",19.12.2023
110948,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с дедом морозом.,"77,9",19.12.2023
111057,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и елкой,131,19.12.2023
110943,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Венок новогодний Merry Christmas с шарами , ягодами и бантами. 30d","116,8",19.12.2023
111058,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с снеговиком,131,19.12.2023
111118,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары красные,"142,1",19.12.2023
111116,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Золотые новогодние шары 101 шт,"343,9",19.12.2023
110945,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Венок новогодний с шарами и бантами. 30d,109,19.12.2023
111060,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом и колокольчиком,"122,8",19.12.2023
111119,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Новогодние шары золотые,"142,1",19.12.2023
111085,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и разным светом 150 см ( волокна ),"811,2",19.12.2023
111059,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 8см с дедом морозом,"122,8",19.12.2023
111124,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Обычная елка 180см,"552,3",19.12.2023
111126,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белая елка 180см,1099,19.12.2023
111084,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и разным светом 150см (гирлянда),"673,6",19.12.2023
111088,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная со снеговиком 26см,231,19.12.2023
111125,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Белая елка 150см,"447,4",19.12.2023
111082,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и теплым светом 180см (гирлянда),"1282,5",19.12.2023
111086,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная с елкой 26см,231,19.12.2023
111065,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Кристальный шар 10см с домом и елкой,195,19.12.2023
111078,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,"Гирлянда на окно ""дождь"" 3х3 метра , USB","116,8",19.12.2023
111083,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Елка новогодняя со звездой и теплая светом 180см ( волокна ),1100,19.12.2023
111087,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Лампа черная с дедом морозом 26см,231,19.12.2023
111108,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Корзина белая,249,19.12.2023
111109,НОВОГОДНИЙ ДЕКОР,НОВОГОДНИЙ ДЕКОР,Корзина черная,249,19.12.2023
77856,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Клей для плитки Kreisel №102 (морозостойкий), 25кг (42 шт/пал)","109,95",19.12.2023
108929,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШПАТЛЕВКИ,Шпатлевка гипсовая Farbax первичка (25кг/пал.40шт),"83,9",19.12.2023
77854,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Клей для плитки СМ-11, 25кг (54 шт/пал) ТМ ""Ceresit""","105,35",19.12.2023
80389,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШТУКАТУРКИ,"Штукатурка минеральная Серая, С-30, 20кг (48 шт/пал) ТМ ""Artisan""","113,95",19.12.2023
95374,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ЦЕМЕНТ И ИНЕРТНЫЕ МАТЕРИАЛЫ,"Цемент CEM II A-S 32,5R/ПЦ М500-Д20 40кг. (РЦК) паллет -44 меш","100,9",19.12.2023
104233,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Клей для плитки Kreisel №103 (усиленный), 25кг (42 шт/пал)","115,25",19.12.2023
84617,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,Клей для плитки Строитель СТ-11 25кг (42 шт/пал),"54,9",19.12.2023
76503,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ЦЕМЕНТ И ИНЕРТНЫЕ МАТЕРИАЛЫ,"Цемент CEM II A-S 32,5R/ПЦ М400-Д20 40кг. (РЦК) паллет -44 меш","91,8",19.12.2023
70014,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШПАТЛЕВКИ,"Шпаклевка универсальная Белая, С-31, 25кг (42 шт/пал) ТМ ""Artisan""","278,2",19.12.2023
109199,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШПАТЛЕВКИ,Шпатлевка гипсовая Farbax вторичка (25кг/пал.40шт),"129,9",19.12.2023
108471,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,СИСТЕМЫ УТЕПЛЕНИЯ ФАСАДОВ,"Клей для теплоизоляции и армирования ""Farbax"" 25кг (42 шт/пал)","93,9",19.12.2023
68570,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШТУКАТУРКИ,"Штукатурка на базе гипса Megips 30 кг (1 пал-40 шт) ТМ ""Casa Mare""","105,65",19.12.2023
108570,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Усиленный эластичный клей для керамогранита и крупноформатной плитки ""Farbax"" 25кг (42 шт/пал)","77,9",19.12.2023
95241,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШПАТЛЕВКИ,"Шпатлевка HP FINISH 25кг ТМ ""Knauf"" (50 шт/пал) ТМ ""Knauf""","159,9",19.12.2023
93197,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Клей для плитки ""Farbax""/GP-15 с фиброй 25кг (42 шт/пал)","73,9",19.12.2023
92754,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,КЛЕЯ ДЛЯ ПЛИТКИ,"Клей для плитки ""Farbax""/GP 25кг (42 шт/пал)","66,9",19.12.2023
95922,СУХИЕ СТРОИТЕЛЬНЫЕ СМЕСИ И ГИДРОИЗОЛЯЦИЯ,ШПАТЛЕВКИ,"Шпатлевка HP START 30кг ТМ ""Knauf"" (40 шт/пал) ТМ ""Knauf""","134,9",19.12.2023
